TestId,PredictedScore
1,0.86
2,0.0
3,0.98
4,0.92
5,0.69
6,0.93
7,0.84
8,0.91
9,0.89
10,0.76
11,0.32
12,0.97
13,0.01
14,0.89
15,0.91
16,0.6716666666666665
17,1.0
18,0.09
19,0.57
20,0.38
21,0.9
22,1.0
23,0.96
24,0.47
25,0.8583333333333333
26,0.9
27,0.55
28,0.82
29,0.87
30,0.75
31,0.78
32,0.07
33,0.92
34,0.97
35,0.93
36,0.687
37,0.76
38,0.7
39,0.01
40,0.8
41,0.94
42,0.96
43,0.802
44,0.82
45,0.12
46,0.95
47,0.83
48,0.97
49,0.8
50,0.79
51,0.5
52,0.07
53,0.97
54,0.73
55,0.97
56,0.83
57,0.94
58,0.84
59,0.34
60,0.84
61,0.96
62,1.0
63,0.31
64,0.66
65,0.99
66,0.95
67,0.20428571428571426
68,0.94
69,0.81
70,0.9
71,1.0
72,0.38
73,0.99
74,0.21
75,0.93
76,0.99
77,0.97
78,0.94
79,0.89
80,0.85
81,0.67
82,0.84
83,0.88
84,0.98
85,0.88
86,0.72
87,0.76
88,0.92
89,0.83
90,0.6133333333333334
91,0.95
92,0.94
93,0.1
94,0.91
95,0.97
96,0.87
97,0.22
98,0.57
99,0.215
100,0.7
101,0.91
102,0.86
103,0.9
104,0.63
105,0.01
106,0.76
107,0.93
108,0.32
109,0.735
110,0.99
111,0.95
112,0.8125
113,0.745
114,0.61
115,0.82
116,1.0
117,0.82
118,0.9
119,0.99
120,0.43450000000000005
121,0.89
122,0.33
123,0.97
124,0.93
125,0.89
126,0.8
127,0.89
128,0.74
129,0.09
130,0.24
131,0.84
132,0.95
133,0.7
134,0.97
135,0.77
136,0.15
137,0.2
138,0.085
139,0.84
140,0.9
141,0.87
142,0.89
143,0.86
144,0.67
145,0.85
146,0.3666666666666667
147,0.95
148,0.83
149,0.9
150,0.96
151,0.98
152,0.62
153,0.88
154,0.88
155,1.0
156,0.65
157,0.76
158,0.61
159,0.93
160,0.83
161,0.07
162,0.93
163,0.96
164,0.84
165,0.91
166,0.79
167,0.83
168,0.04
169,0.8466666666666666
170,0.442
171,0.79
172,0.98
173,0.88
174,0.98
175,0.88
176,0.85
177,0.46
178,0.92
179,0.68
180,0.17
181,0.83
182,0.9033333333333334
183,0.82
184,0.97
185,0.9
186,0.37
187,0.4825
188,0.875
189,0.89
190,0.96
191,0.86
192,0.37
193,0.93
194,0.68
195,0.93
196,0.77
197,0.96
198,0.07
199,0.75
200,0.96
201,0.97
202,0.95
203,0.5266666666666667
204,0.93
205,0.24
206,0.92
207,0.86
208,0.94
209,0.75
210,0.75
211,0.382
212,0.23
213,0.95
214,0.46
215,0.87
216,0.73
217,0.86
218,0.83
219,0.73
220,0.8475
221,0.96
222,0.89
223,0.73
224,0.98
225,0.85
226,0.79
227,0.05
228,0.83
229,0.01
230,0.79
231,0.93
232,0.91
233,0.91
234,0.89
235,0.83
236,0.98
237,1.0
238,0.83
239,0.84
240,0.53
241,0.96
242,0.74
243,0.75
244,0.87
245,0.946
246,0.31
247,0.08
248,0.72
249,0.9
250,0.97
251,0.96
252,0.82
253,0.8
254,0.6403333333333333
255,0.97
256,0.27666666666666667
257,0.91
258,0.9
259,0.715
260,0.09
261,0.93
262,0.16
263,0.95
264,0.64
265,0.74
266,0.8
267,0.74
268,0.96
269,0.99
270,0.72
271,0.92
272,0.99
273,0.9125
274,0.97
275,0.9
276,1.0
277,0.95
278,0.14
279,0.86
280,0.93
281,0.92
282,0.91
283,0.99
284,0.0
285,0.93
286,0.05
287,0.8066666666666665
288,0.99
289,0.49
290,0.89
291,0.76
292,0.71
293,0.8
294,0.71
295,0.99
296,0.91
297,0.49
298,0.88
299,0.96
300,0.78
301,0.95
302,0.91
303,0.8383333333333333
304,0.912
305,0.93
306,0.96
307,0.65
308,0.612
309,0.9
310,0.3
311,0.42
312,1.0
313,0.83
314,0.025
315,0.9
316,0.66
317,0.98
318,0.97
319,0.83
320,1.0
321,0.727
322,0.8275
323,0.95
324,0.04
325,0.84
326,0.82
327,0.9
328,0.22
329,0.9
330,0.5
331,0.91
332,0.91
333,0.71
334,0.03
335,0.81
336,0.97
337,0.905
338,0.88
339,0.65
340,0.91
341,0.98
342,0.85
343,0.83
344,0.98
345,0.88
346,0.82
347,0.17
348,0.85
349,0.846
350,0.82
351,0.86
352,0.93
353,0.83
354,0.88
355,0.57
356,0.84
357,0.75
358,0.95
359,0.77
360,0.72
361,0.97
362,0.9
363,0.98
364,0.59
365,0.99
366,0.97
367,0.245
368,0.36
369,1.0
370,0.91
371,0.7133333333333334
372,0.83
373,0.6953333333333334
374,0.92
375,0.89
376,0.825
377,0.97
378,0.98
379,0.29
380,0.97
381,0.52
382,0.94
383,0.95
384,0.95
385,0.82
386,0.86
387,0.37
388,0.78
389,0.88
390,0.88
391,0.91
392,0.76
393,0.66
394,0.73
395,0.94
396,0.57
397,0.93
398,0.71
399,0.76
400,0.98
401,0.95
402,0.58
403,0.8320000000000001
404,0.82
405,0.93
406,0.36
407,0.41
408,0.78
409,0.46
410,0.97
411,0.93
412,0.89
413,0.89
414,0.86
415,0.19428571428571428
416,0.94
417,0.73
418,0.26
419,0.91
420,0.78
421,0.91
422,1.0
423,0.76
424,0.71
425,0.95
426,0.94
427,0.9025
428,0.85
429,0.98
430,0.92
431,0.17
432,0.98
433,0.91
434,0.87
435,0.97
436,0.05
437,0.91
438,0.4325
439,0.72
440,0.71
441,0.8166666666666665
442,0.62
443,0.86
444,0.872
445,0.97
446,0.29
447,0.8
448,0.97
449,0.89
450,0.89
451,0.77
452,0.93
453,0.7
454,0.73
455,0.97
456,0.9
457,0.95
458,0.97
459,1.0
460,0.91
461,0.65
462,0.96
463,0.98
464,0.45
465,0.91
466,0.94
467,0.78
468,0.95
469,0.84
470,0.95
471,0.7633333333333334
472,0.96
473,0.94
474,0.98
475,0.97
476,0.14
477,0.9033333333333334
478,0.92
479,0.6666666666666665
480,0.81
481,0.885
482,1.0
483,0.91
484,0.79
485,0.89
486,0.66
487,0.98
488,0.93
489,0.12
490,0.9
491,0.83
492,0.9
493,0.82
494,0.98
495,0.91
496,0.792
497,0.23
498,0.86
499,0.75
500,0.97
501,0.42
502,0.83
503,0.75
504,0.78
505,0.84
506,0.91
507,0.93
508,0.94
509,0.93
510,0.28
511,0.35
512,0.35
513,0.99
514,0.85
515,0.96
516,0.87
517,0.69
518,0.972
519,0.66
520,0.9
521,0.9
522,0.5683333333333334
523,0.99
524,0.77
525,0.88
526,0.91
527,0.78
528,0.915
529,0.77
530,0.93
531,0.97
532,0.87
533,0.95
534,0.86
535,0.72
536,0.18
537,0.17
538,0.21
539,0.88
540,0.21
541,0.98
542,0.9
543,0.07
544,0.7
545,0.9
546,0.99
547,0.71
548,0.86
549,0.71
550,0.44
551,0.95
552,0.3666666666666667
553,0.76
554,0.95
555,0.92
556,0.76
557,0.8
558,0.34
559,0.99
560,0.9
561,0.87
562,0.77
563,0.86
564,0.0
565,0.92
566,1.0
567,0.88
568,0.88
569,0.075
570,0.94
571,0.94
572,0.68
573,0.84
574,0.88
575,0.75
576,0.95
577,0.41
578,0.29
579,0.57
580,0.98
581,0.77
582,0.99
583,0.79
584,0.94
585,0.84
586,0.96
587,0.93
588,0.98
589,0.06
590,0.8
591,0.95
592,0.84
593,0.93
594,0.84
595,0.85
596,0.92
597,0.905
598,0.98
599,0.97
600,0.95
601,0.98
602,0.85
603,0.85
604,0.89
605,0.26
606,0.57
607,0.44
608,0.69
609,0.89
610,0.63
611,0.78
612,0.71
613,0.67
614,0.91
615,0.97
616,0.91
617,0.62
618,0.9567857142857144
619,0.8
620,0.8475
621,0.79
622,0.78
623,0.98
624,0.85
625,0.06
626,0.07
627,0.885
628,0.87
629,0.86
630,0.95
631,0.97
632,0.91
633,0.93
634,0.88
635,0.91
636,0.92
637,0.6966666666666665
638,0.89
639,0.2
640,0.88
641,0.98
642,0.99
643,1.0
644,0.98
645,0.58
646,0.84
647,0.94
648,0.95
649,0.77
650,0.86
651,0.94
652,0.96
653,0.96
654,0.95
655,0.96
656,0.83
657,0.88
658,0.77
659,0.84
660,0.91
661,0.68
662,0.98
663,0.652
664,0.9
665,0.95
666,0.93
667,0.94
668,0.84
669,0.92
670,0.9
671,0.89
672,0.91
673,0.18428571428571427
674,0.99
675,0.8466666666666666
676,0.83
677,0.732
678,1.0
679,0.31666666666666665
680,0.79
681,0.66
682,0.856
683,0.92
684,0.72
685,0.88
686,0.86
687,0.86
688,0.38
689,0.63
690,0.78
691,0.92
692,0.96
693,0.62
694,0.885
695,0.97
696,0.93
697,0.89
698,0.9
699,0.79
700,0.47
701,0.98
702,0.91
703,0.8
704,0.8
705,0.94
706,0.07
707,0.902
708,0.86
709,0.68
710,0.9
711,0.15
712,0.86
713,0.92
714,0.98
715,0.89
716,0.99
717,0.8075
718,0.85
719,0.95
720,0.85
721,0.96
722,0.99
723,0.96
724,0.84
725,0.96
726,0.82
727,0.17
728,0.74
729,0.92
730,0.92
731,0.92
732,0.27
733,0.8
734,0.75
735,0.94
736,0.93
737,0.96
738,0.91
739,0.77
740,0.05
741,0.64
742,0.07
743,0.2
744,0.92
745,0.865
746,0.603952380952381
747,0.92
748,0.37
749,0.87
750,0.98
751,0.89
752,0.75
753,0.79
754,0.8
755,0.7
756,0.426
757,0.915
758,0.99
759,1.0
760,0.92
761,0.42
762,0.25
763,0.89
764,0.37
765,0.95
766,0.7216666666666666
767,0.19
768,0.96
769,0.705
770,0.92
771,0.77
772,0.93
773,0.94
774,0.97
775,0.12
776,0.79
777,0.895
778,0.03
779,0.855
780,0.97
781,0.88
782,0.92
783,0.9
784,0.71
785,0.74
786,0.45
787,0.53
788,0.96
789,0.93
790,0.92
791,0.79
792,0.97
793,0.84
794,0.95
795,0.9
796,0.9
797,0.24428571428571427
798,0.93
799,0.54
800,0.82
801,0.03
802,0.8866666666666667
803,1.0
804,0.98
805,0.98
806,0.91
807,0.7966666666666665
808,0.21
809,0.37
810,0.7
811,0.58
812,0.94
813,0.68
814,0.82
815,0.81
816,0.92
817,0.92
818,0.67
819,0.9
820,1.0
821,0.8
822,0.86
823,0.88
824,0.74
825,0.98
826,0.95
827,0.35
828,0.9
829,0.82
830,0.76
831,0.98
832,0.98
833,0.91
834,0.5
835,0.9
836,0.16
837,0.95
838,0.95
839,0.67
840,0.86
841,0.97
842,0.96
843,0.20428571428571426
844,0.02
845,0.86
846,0.8
847,0.8266666666666665
848,0.97
849,0.88
850,0.91
851,0.92
852,0.9
853,0.89
854,0.87
855,0.93
856,0.81
857,0.96
858,0.86
859,0.9875
860,0.82
861,0.9
862,0.32
863,0.665
864,0.03
865,0.91
866,0.792
867,0.99
868,0.88
869,0.94
870,0.73
871,0.66
872,0.47
873,0.84
874,0.87
875,0.36
876,0.9433333333333335
877,0.91
878,0.99
879,1.0
880,0.19
881,1.0
882,0.97
883,0.85
884,0.95
885,0.02
886,0.77
887,0.38
888,0.6
889,0.79
890,0.74
891,0.97
892,0.85
893,0.99
894,0.9
895,0.856
896,0.71
897,0.86
898,0.95
899,0.8
900,0.92
901,0.87
902,0.45
903,0.82
904,0.9
905,0.18
906,0.89
907,0.84
908,0.86
909,0.12
910,0.8466666666666666
911,1.0
912,0.83
913,0.75
914,0.48
915,0.94
916,0.87
917,0.22
918,0.63
919,0.51
920,0.85
921,0.79
922,0.92
923,1.0
924,0.95
925,0.82
926,0.83
927,0.83
928,0.6859999999999999
929,0.98
930,0.95
931,0.932
932,0.42
933,0.652
934,0.83
935,0.93
936,0.98
937,0.89
938,0.88
939,0.79
940,0.1
941,0.872
942,0.95
943,0.45
944,0.84
945,0.93
946,0.92
947,0.74
948,0.98
949,0.83
950,0.6666666666666665
951,0.46
952,0.91
953,0.98
954,0.97
955,0.95
956,0.97
957,0.27
958,0.72
959,0.88
960,0.28
961,0.836
962,0.9625
963,0.99
964,0.78
965,0.26
966,0.83
967,0.9
968,0.95
969,0.40666666666666673
970,0.94
971,0.94
972,0.18
973,0.8341666666666666
974,0.74
975,0.08
976,0.97
977,0.94
978,0.8
979,0.91
980,0.76
981,0.35
982,0.23
983,1.0
984,0.75
985,0.82
986,0.63
987,0.11
988,0.81
989,0.86
990,0.62
991,0.92
992,0.98
993,0.36
994,0.8
995,0.64
996,0.07
997,0.91
998,0.14
999,0.75
1000,0.84
1001,0.39
1002,1.0
1003,0.01
1004,0.6966666666666665
1005,1.0
1006,0.9
1007,0.97
1008,0.97
1009,0.66
1010,0.94
1011,0.86
1012,0.87
1013,0.84
1014,0.9
1015,0.74
1016,0.9
1017,0.8433333333333333
1018,0.92
1019,0.9
1020,0.97
1021,0.62
1022,0.82
1023,0.93
1024,0.74
1025,0.27
1026,0.75
1027,0.09
1028,0.92
1029,0.94
1030,0.16
1031,0.64
1032,0.74
1033,0.93
1034,0.935
1035,0.97
1036,0.6
1037,0.87
1038,0.93
1039,0.87
